,name,image_num,productID,price,inventory,sell_num,seller_ID,reputation,QA,buyer_num,payment,status,location,upload-time,buylimit,start_price,end,delivery,all_sell_num,update-time
0,蘋果原廠線富士康廠 apple iphone lightning 充電線 線徑 2.9mm,3,21723448828997,$450,10,0,jane920902,275,0,0,"['蘋果原廠線富士康廠 apple iphone lightning 充電線 線徑 2.9mm', '賣家保固 ', '支援付款快手', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '銀行或郵局轉帳', '郵局無摺存款', '貨到付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.台中市,上架時間： 2017-06-08 12:31:50,0,$450元,可能會提前結束販售,"['賣家保固', '支援付款快手', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款銀行或郵局轉帳郵局無摺存款貨到付款', '全家、OK、萊爾富取貨付款', '65', '元7-11取貨付款', '65', '元便利帶隔日配一日到貨說明', '70', '元', '活動１日到貨！原價$70↘限量$60郵寄寄送', '75', '元宅配/快遞', '120', '元離島寄送', '150', '元貨到付款', '150', '元']",806,2017-06-09 12:04:39
1,【小綠貓】編織蘋果iPhone手機iOS銅芯充電傳輸線 行動電源專用25cm iPhone充電線 0.25米傳輸線 ,1,21723439206740,$49,1,0,littlegreencat,698,0,0,"['【小綠貓】編織蘋果iPhone手機iOS銅芯充電傳輸線 行動電源專用25cm iPhone充電線 0.25米傳輸線 ', 'PChomePay支付連 信用卡', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.新北市,上架時間： 2017-06-06 13:54:31,0,$49元,可能會提前結束販售,"['PChomePay支付連 信用卡PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款', '全家、OK、萊爾富取貨付款', '60', '元7-11取貨付款', '60', '元7-11取貨', '60', '元宅配/快遞', '60', '元離島寄送', '80', '元']",3979,0
2,【小綠貓】iPhone充電線防斷裂保護套 不挑色 防斷線 傳輸線保護,1,21722421202106,$2,99,0,littlegreencat,698,0,0,"['【小綠貓】iPhone充電線防斷裂保護套 不挑色 防斷線 傳輸線保護', '有多種顏色 ', 'PChomePay支付連 信用卡', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.新北市,上架時間： 2017-06-03 10:20:18,0,$2元,可能會提前結束販售,"['有多種顏色', 'PChomePay支付連 信用卡PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款', '全家、OK、萊爾富取貨付款', '60', '元7-11取貨付款', '60', '元7-11取貨', '60', '元宅配/快遞', '60', '元離島寄送', '80', '元']",3979,0
3,免運  現貨不用等 三送一 APPLE IPHONE 充電線/數據線/傳輸線 支援IOS13,3,21722412317967,$59,81,19,aa780624,36,3,10,"['免運  現貨不用等 三送一 APPLE IPHONE 充電線/數據線/傳輸線 支援IOS13', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '面交取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.台中市,上架時間： 2017-06-01 13:56:44,0,$59元,可能會提前結束販售,"['PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款面交取貨付款', '全家、OK、萊爾富取貨付款', '65', '元7-11取貨付款', '65', '元郵寄寄送', '0', '元面交取貨付款']",16,2019-10-09 23:04:14
4,【加價購】i線套 IPhone 充電線保護套,1,21720313598630,$5,99,0,leolin1998,415,0,0,"['【加價購】i線套 IPhone 充電線保護套', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '銀行或郵局轉帳', '郵局無摺存款', '面交取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.台中市,上架時間： 2017-05-17 17:42:28,0,$5元,可能會提前結束販售,"['PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款銀行或郵局轉帳郵局無摺存款面交取貨付款', '全家、OK、萊爾富取貨付款', '60', '元7-11取貨付款', '60', '元7-11取貨', '60', '元郵寄寄送', '65', '元面交取貨付款']",6,0
5,【QQshop】二合一伸縮充電傳輸線 micro&iPhone 充電線傳輸線 蘋果&安卓 手機通用 高速USB-C39,9,21720311094730,$88,99,0,qqshop0301,61,0,0,"['【QQshop】二合一伸縮充電傳輸線 micro&iPhone 充電線傳輸線 蘋果&安卓 手機通用 高速USB-C39', '有多種顏色 ', '支援付款快手', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '銀行或郵局轉帳', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.台中市,上架時間： 2017-05-17 08:19:48,0,$88元,可能會提前結束販售,"['有多種顏色', '支援付款快手', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款銀行或郵局轉帳', '全家、OK、萊爾富取貨付款', '80', '元7-11取貨付款', '80', '元7-11取貨', '80', '元']",104,0
6,真㊣的一條好 iphone傳輸線 Iphone充電線 iPhone真正認證充電線 1.5米 ipad傳輸線 Ipad,3,21719289043668,$349,8,2,red_eyes,166,0,2,"['真㊣的一條好 iphone傳輸線 Iphone充電線 iPhone真正認證充電線 1.5米 ipad傳輸線 Ipad', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '貨到付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.新北市,上架時間： 2017-05-14 18:50:20,0,$349元,可能會提前結束販售,"['PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款貨到付款', '全家、OK、萊爾富取貨付款', '70', '元7-11取貨付款', '70', '元宅配/快遞', '150', '元貨到付款', '150', '元']",1611,0
7,【好店】全新 手機 線材 紅 3米 Iphone 支援IOS7.IOS8 iphone7 充電線 傳輸線,3,21711517508176,$290,1,0,chih0128,94,3,0,"['【好店】全新 手機 線材 紅 3米 Iphone 支援IOS7.IOS8 iphone7 充電線 傳輸線', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '銀行或郵局轉帳', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.台中市,上架時間： 2017-03-16 12:39:08,0,$290元,可能會提前結束販售,"['PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款銀行或郵局轉帳', '全家、OK、萊爾富取貨付款', '60', '元7-11取貨付款', '60', '元7-11取貨', '60', '元']",430,0
8,【好店】全新 手機 線材 金 Iphone 支援IOS7.IOS8 iphone7 充電線 傳輸線 發光,2,21709382063405,$280,1,0,chih0128,94,0,0,"['【好店】全新 手機 線材 金 Iphone 支援IOS7.IOS8 iphone7 充電線 傳輸線 發光', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '銀行或郵局轉帳', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.台中市,上架時間： 2017-03-01 16:46:28,0,$280元,可能會提前結束販售,"['PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款銀行或郵局轉帳', '全家、OK、萊爾富取貨付款', '60', '元7-11取貨付款', '60', '元7-11取貨', '60', '元']",430,2017-03-13 11:11:42
9,i線套 iphone 充電線套 傳輸線套 保護套,3,21709359347178,$5,99,0,edison5271,92,0,1,"['i線套 iphone 充電線套 傳輸線套 保護套', '有多種顏色 ', '支援付款快手', 'PChomePay支付連 信用卡', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '銀行或郵局轉帳', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.新北市,上架時間： 2017-02-27 12:48:31,評價總分必須 ≧ 1分,$5元,可能會提前結束販售,"['有多種顏色', '支援付款快手', 'PChomePay支付連 信用卡PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款銀行或郵局轉帳', '全家、OK、萊爾富取貨付款', '60', '元7-11取貨付款', '60', '元郵寄寄送', '60', '元']",151,0
10,數位小兔【Tunewear LANTERN lightning 吊飾 傳輸線 18CM 紅色】IPhone 充電線 迷你,1,21704179427633,$690,99,0,rabbit-lomo,4171,0,0,"['數位小兔【Tunewear LANTERN lightning 吊飾 傳輸線 18CM 紅色】IPhone 充電線 迷你', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '貨到付款', '面交取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.台北市,上架時間： 2017-01-25 14:38:33,0,$690元,可能會提前結束販售,"['PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款貨到付款面交取貨付款', '全家、OK、萊爾富取貨付款', '0', '元7-11取貨付款', '0', '元郵寄寄送', '0', '元宅配/快遞', '0', '元貨到付款', '120', '元面交取貨面交取貨付款']",11291,0
11,數位小兔【Tunewear LANTERN lightning 吊飾 傳輸線 18CM 紅色】IPhone 充電線 迷你,1,21704179427127,$690,99,0,rabbit-lomo,4171,0,0,"['數位小兔【Tunewear LANTERN lightning 吊飾 傳輸線 18CM 紅色】IPhone 充電線 迷你', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '貨到付款', '面交取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.台北市,上架時間： 2017-01-25 14:38:08,0,$690元,可能會提前結束販售,"['PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款貨到付款面交取貨付款', '全家、OK、萊爾富取貨付款', '0', '元7-11取貨付款', '0', '元郵寄寄送', '0', '元宅配/快遞', '0', '元貨到付款', '120', '元面交取貨面交取貨付款']",11291,0
12,數位小兔【Tunewear LANTERN lightning 吊飾 傳輸線 18CM 黑色】IPhone 充電線 迷你,1,21704179426610,$690,99,0,rabbit-lomo,4171,0,0,"['數位小兔【Tunewear LANTERN lightning 吊飾 傳輸線 18CM 黑色】IPhone 充電線 迷你', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '貨到付款', '面交取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.台北市,上架時間： 2017-01-25 14:37:43,0,$690元,可能會提前結束販售,"['PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款貨到付款面交取貨付款', '全家、OK、萊爾富取貨付款', '0', '元7-11取貨付款', '0', '元郵寄寄送', '0', '元宅配/快遞', '0', '元貨到付款', '120', '元面交取貨面交取貨付款']",11291,0
13,數位小兔【Tunewear LANTERN lightning 吊飾 傳輸線 18CM 黑色】IPhone 充電線 迷你,1,21704179425978,$690,99,0,rabbit-lomo,4171,0,0,"['數位小兔【Tunewear LANTERN lightning 吊飾 傳輸線 18CM 黑色】IPhone 充電線 迷你', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '貨到付款', '面交取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.台北市,上架時間： 2017-01-25 14:37:20,0,$690元,可能會提前結束販售,"['PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款貨到付款面交取貨付款', '全家、OK、萊爾富取貨付款', '0', '元7-11取貨付款', '0', '元郵寄寄送', '0', '元宅配/快遞', '0', '元貨到付款', '120', '元面交取貨面交取貨付款']",11291,0
14,【WY禮品‧贈品】((蘋果i線套《不挑色》)) 糖果色 蘋果專用數據線保護套 IPHONE IPAD 充電線,3,21703172679241,$15,99,0,bigcandy888,552,0,0,"['【WY禮品‧贈品】((蘋果i線套《不挑色》)) 糖果色 蘋果專用數據線保護套 IPHONE IPAD 充電線', 'PChomePay支付連 信用卡', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.南投縣,上架時間： 2017-01-21 21:25:12,0,$15元,可能會提前結束販售,"['PChomePay支付連 信用卡PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款', '全家、OK、萊爾富取貨付款', '80', '元7-11取貨付款', '80', '元7-11取貨', '70', '元郵寄寄送', '100', '元宅配/快遞', '100', '元']",5091,0
15,《手機行家》Iphone充電線E75,2,21703168005508,$199,10,0,qqcoke55,0,0,0,"['《手機行家》Iphone充電線E75', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.新竹市,上架時間： 2017-01-20 18:58:42,評價總分必須 ≧ 0分,$199元,可能會提前結束販售,"['PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款', '全家、OK、萊爾富取貨付款', '60', '元7-11取貨付款', '60', '元7-11取貨', '60', '元']",6,2017-06-12 23:53:32
16,[已含稅]蘋果iphone4 micro usb iphone5充電線 一分三多功能手機數據線 (2個一拍),1,21652895699855,$311,99,0,ju_el,14133,0,0,"['[已含稅]蘋果iphone4 micro usb iphone5充電線 一分三多功能手機數據線 (2個一拍)', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', '', '', '', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '貨到付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.台北市,上架時間： 2016-12-26 12:22:35,0,$311元,可能會提前結束販售,"['Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡12\xa0期0 利率每期', '26\xa0元\xa0更多分期PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款貨到付款', '全家、OK、萊爾富取貨付款', '75', '元7-11取貨付款', '75', '元郵寄寄送', '50', '元貨到付款', '95', '元']",305009,0
17,[已含稅][已含稅] 蘋果iphone4 micro usb iphone5充電線 一分三多功能手機數據線,1,21651832008400,$112,99,0,ju_el,14133,0,0,"['[已含稅][已含稅] 蘋果iphone4 micro usb iphone5充電線 一分三多功能手機數據線', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', '', '', '', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '貨到付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.台北市,上架時間： 2016-12-21 06:21:39,0,$112元,可能會提前結束販售,"['Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡12\xa0期0 利率每期', '10\xa0元\xa0更多分期PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款貨到付款', '全家、OK、萊爾富取貨付款', '75', '元7-11取貨付款', '75', '元郵寄寄送', '50', '元貨到付款', '95', '元']",305009,0
18,[已含稅] IPAD數據線 IPHONE充電線 蘋果充電線 蘋果線 數據線 蘋果連接線 (10個一拍),1,21651808915815,$256,99,0,ju_el,14133,0,0,"['[已含稅] IPAD數據線 IPHONE充電線 蘋果充電線 蘋果線 數據線 蘋果連接線 (10個一拍)', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', '', '', '', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '貨到付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.台北市,上架時間： 2016-12-19 13:32:39,0,$256元,可能會提前結束販售,"['Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡12\xa0期0 利率每期', '22\xa0元\xa0更多分期PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款貨到付款', '全家、OK、萊爾富取貨付款', '75', '元7-11取貨付款', '75', '元郵寄寄送', '50', '元貨到付款', '95', '元']",305009,0
