,name,image_num,productID,price,inventory,sell_num,seller_ID,reputation,QA,buyer_num,payment,status,location,upload-time,buylimit,start_price,end,delivery,all_sell_num,update-time
0,AP0155【REMAX 變形金剛二合一蘋果安卓傳輸線】 充電線 Iphone Android快速充電,1,21545011346350,$180,94,14,a8912013,9953,2,6,"['AP0155【REMAX 變形金剛二合一蘋果安卓傳輸線】 充電線 Iphone Android快速充電', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '郵局無摺存款', '貨到付款', '面交取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.台南市,上架時間： 2015-11-05 12:28:58,0,$180元,可能會提前結束販售,"['Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款郵局無摺存款貨到付款面交取貨付款', '全家、OK、萊爾富取貨付款', '60', '元7-11取貨付款', '65', '元便利帶隔日配一日到貨說明', '70', '元', '活動１日到貨！原價$70↘限量$60郵寄寄送', '50', '元宅配/快遞', '50', '元貨到付款', '120', '元面交取貨付款']",1286,2016-09-16 13:56:14
1,【REMAX 變形金剛二合一蘋果安卓傳輸線】AP0155 充電線 Iphone Android快速充電,1,21545011340781,$180,98,3,a8912013,9953,1,2,"['【REMAX 變形金剛二合一蘋果安卓傳輸線】AP0155 充電線 Iphone Android快速充電', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '郵局無摺存款', '貨到付款', '面交取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.台南市,上架時間： 2015-11-05 12:28:18,0,$180元,可能會提前結束販售,"['Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款郵局無摺存款貨到付款面交取貨付款', '全家、OK、萊爾富取貨付款', '60', '元7-11取貨付款', '65', '元便利帶隔日配一日到貨說明', '70', '元', '活動１日到貨！原價$70↘限量$60郵寄寄送', '50', '元宅配/快遞', '50', '元貨到付款', '120', '元面交取貨付款']",1286,2018-04-17 13:16:22
2,原價百貨》蘋果線保護器  蘋果線保護套 線保護蓋，iPhone 蘋果 傳輸線 數據線 充電線 (249),1,21543894875916,$2,99,512,lion4319,12289,6,75,"['原價百貨》蘋果線保護器  蘋果線保護套 線保護蓋，iPhone 蘋果 傳輸線 數據線 充電線 (249)', '可開收據 ', '有多種顏色 ', '支援付款快手', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '銀行或郵局轉帳', '郵局無摺存款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.基隆市,上架時間： 2015-10-22 08:21:06,0,$2元,可能會提前結束販售,"['可開收據', '有多種顏色', '支援付款快手', 'Pi 拍錢包X支付連', '最高P幣 2.5% 回饋(說明)PChomePay支付連 信用卡PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款銀行或郵局轉帳郵局無摺存款', '全家、OK、萊爾富取貨付款', '70', '元7-11取貨付款', '70', '元7-11取貨', '70', '元郵寄寄送', '70', '元']",393,2018-10-12 10:36:41
3,【鼎立資訊】IPHONE 6/6S/PLUS/5/5S/IPAD MINI/AIR 防塵 磁力充電 傳輸線 充電線 可傳,1,21543881513067,$599,10,0,han1021,7379,0,1,"['【鼎立資訊】IPHONE 6/6S/PLUS/5/5S/IPAD MINI/AIR 防塵 磁力充電 傳輸線 充電線 可傳', '支援付款快手', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '銀行或郵局轉帳', '郵局無摺存款', '貨到付款', '面交取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.台中市,上架時間： 2015-10-20 14:54:10,0,$599元,可能會提前結束販售,"['支援付款快手', 'Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款銀行或郵局轉帳郵局無摺存款貨到付款面交取貨付款', '全家、OK、萊爾富取貨付款', '69', '元7-11取貨付款', '69', '元郵寄寄送', '55', '元宅配/快遞', '90', '元貨到付款', '130', '元面交取貨付款']",2496,0
4,【1號店通訊】baseus 倍思 短線 充電線 鑰匙 隨身攜帶 iphone Lightning,1,21543881470788,$99,30,4,no1mobile,10859,1,5,"['【1號店通訊】baseus 倍思 短線 充電線 鑰匙 隨身攜帶 iphone Lightning', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '面交取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.新北市,上架時間： 2015-10-20 14:48:51,0,$99元,可能會提前結束販售,"['Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款面交取貨付款', '全家、OK、萊爾富取貨付款', '65', '元7-11取貨付款', '65', '元7-11取貨', '65', '元郵寄寄送', '100', '元宅配/快遞', '100', '元面交取貨面交取貨付款']",1128,2019-02-21 18:29:32
5,高夫 200cm 編織傳輸線 Lightning 傳輸線/充電線iPhone 6S i6S i6 Plus iPhone,1,21543875484427,$270,60,0,caspar100,1189,1,0,"['高夫 200cm 編織傳輸線 Lightning 傳輸線/充電線iPhone 6S i6S i6 Plus iPhone', '支援付款快手', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '銀行或郵局轉帳', '面交取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.台南市,上架時間： 2015-10-19 17:52:21,0,$270元,可能會提前結束販售,"['支援付款快手', 'Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款銀行或郵局轉帳面交取貨付款', '全家、OK、萊爾富取貨付款', '60', '元7-11取貨付款', '60', '元7-11取貨', '60', '元郵寄寄送', '40', '元面交取貨付款']",782,0
6,【現貨】免運Apple 傳輸線/充電線 iPhone 6S i6S i6 Plus iPhone 5S i5 充電器,3,21542863506675,$250,99,9,relax1225,9868,3,8,"['【現貨】免運Apple 傳輸線/充電線 iPhone 6S i6S i6 Plus iPhone 5S i5 充電器', '支援付款快手', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '銀行或郵局轉帳', '郵局無摺存款', '貨到付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.台中市,上架時間： 2015-10-17 23:22:58,0,$250元,可能會提前結束販售,"['支援付款快手', 'Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款銀行或郵局轉帳郵局無摺存款貨到付款', '全家、OK、萊爾富取貨付款', '60', '元7-11取貨付款', '60', '元郵寄寄送', '100', '元貨到付款', '150', '元']",812,2015-10-18 01:30:12
7,i線套 Apple iPhone 6 5S iPad Lightning 傳輸線 保護套 充電線 護套線 保護套 有現貨,3,21542848879671,$7,99,45,me910455,21916,1,9,"['i線套 Apple iPhone 6 5S iPad Lightning 傳輸線 保護套 充電線 護套線 保護套 有現貨', '有多種顏色 ', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.台南市,上架時間： 2015-10-15 16:44:05,評價總分必須 ≧ 0分,$7元,可能會提前結束販售,"['有多種顏色', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款', '全家、OK、萊爾富取貨付款', '80', '元7-11取貨付款', '80', '元7-11取貨', '60', '元郵寄寄送', '100', '元宅配/快遞', '150', '元']",3435,2017-09-19 10:36:21
8,MODOCEE Apple 3米 編織充電線 傳輸線 編織線 iPhone 5 5s SE/6 6S 7 8 Plus,3,21542846682761,$129,20,10,1129lg,55711,1,8,"['MODOCEE Apple 3米 編織充電線 傳輸線 編織線 iPhone 5 5s SE/6 6S 7 8 Plus', '支援付款快手', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '郵局快捷貨到付款', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '銀行或郵局轉帳', '郵局無摺存款', '貨到付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 彰化市,上架時間： 2015-10-15 10:16:46,評價總分必須 ≧ 0分,$129元,可能會提前結束販售,"['支援付款快手', 'Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡PChomePay支付連 現金 (ATM、餘額、銀行支付)郵局快捷貨到付款7-11取貨付款全家、OK、萊爾富取貨付款銀行或郵局轉帳郵局無摺存款貨到付款', '全家、OK、萊爾富取貨付款', '70', '元7-11取貨付款', '70', '元7-11取貨', '70', '元郵局快捷貨到付款', '200', '元郵寄寄送', '80', '元宅配/快遞', '100', '元貨到付款', '200', '元']",6928,2019-08-20 14:52:49
9,TUP 傳輸線 充電線 USB線 磁力吸附 收納 管理器 集線器 桌面 辦公 車用 iPhone6 6s 安卓 三星,1,21541822575035,$250,99,9,sogiman1,23749,8,8,"['TUP 傳輸線 充電線 USB線 磁力吸附 收納 管理器 集線器 桌面 辦公 車用 iPhone6 6s 安卓 三星', '專櫃正品 ', '附保證書 ', '附鑑定書 ', '有多種顏色 ', '支援付款快手', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '銀行或郵局轉帳', '郵局無摺存款', '貨到付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.高雄市,上架時間： 2015-10-11 01:04:59,0,$250元,可能會提前結束販售,"['專櫃正品', '附保證書', '附鑑定書', '有多種顏色', '支援付款快手', 'Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款銀行或郵局轉帳郵局無摺存款貨到付款', '全家、OK、萊爾富取貨付款', '60', '元7-11取貨付款', '65', '元便利帶隔日配一日到貨說明', '70', '元', '活動１日到貨！原價$70↘限量$60郵寄寄送', '40', '元宅配/快遞', '80', '元離島寄送', '40', '元貨到付款', '100', '元']",829,0
