sale_num,recom,page,index,rank_eachpage
1,3,1,0,0
25,10,1,1,1
none,2,1,2,2
56,32,1,3,3
16,4,1,4,4
none,1,1,5,5
335,15,1,6,6
1009,37,1,7,7
1,4,1,8,8
3,3,1,9,9
3,4,1,10,10
21,7,1,11,11
10,9,1,12,12
109,17,1,13,13
172,12,1,14,14
91,0,1,15,15
16,14,1,16,16
56,50,1,17,17
37,6,1,18,18
1,0,1,19,19
none,0,1,20,20
none,0,1,21,21
none,1,1,22,22
none,0,1,23,23
7,6,1,24,24
1,3,1,25,25
1,1,1,26,26
11,7,1,27,27
477,130,1,28,28
none,1,1,29,29
198,75,1,30,30
813,248,1,31,31
14,14,1,32,32
30,13,1,33,33
3,0,1,34,34
1,2,1,35,35
5,3,1,36,36
386,30,1,37,37
388,10,1,38,38
122,4,1,39,39
68,28,1,40,40
28,18,1,41,41
3,1,1,42,42
464,98,1,43,43
none,0,1,44,44
none,0,1,45,45
none,0,1,46,46
none,0,1,47,47
none,0,1,48,48
none,1,1,49,49
none,1,1,50,50
none,0,1,51,51
9,9,1,52,52
1,3,1,53,53
283,133,1,54,54
331,114,1,55,55
none,0,1,56,56
1,0,1,57,57
none,0,1,58,58
1,2,1,59,59
none,1,1,60,60
none,2,1,61,61
none,0,1,62,62
none,1,1,63,63
none,0,1,64,64
2,0,1,65,65
none,0,1,66,66
none,1,1,67,67
6,3,1,68,68
none,0,1,69,69
none,1,1,70,70
25,6,1,71,71
4,1,1,72,72
1,0,1,73,73
1,0,1,74,74
2,2,1,75,75
29,3,1,76,76
none,1,1,77,77
none,0,1,78,78
4,5,1,79,79
1,1,2,0,0
14,7,2,1,1
none,0,2,2,2
3,1,2,3,3
16,3,2,4,4
235,19,2,5,5
16,1,2,6,6
32,7,2,7,7
none,0,2,8,8
none,1,2,9,9
5,9,2,10,10
2,3,2,11,11
4,2,2,12,12
none,9,2,13,13
none,1,2,14,14
28,6,2,15,15
11,5,2,16,16
17,11,2,17,17
8,0,2,18,18
97,2,2,19,19
3,6,2,20,20
185,23,2,21,21
4,7,2,22,22
8,4,2,23,23
3,3,2,24,24
166,20,2,25,25
191,17,2,26,26
none,0,2,27,27
6,1,2,28,28
87,9,2,29,29
20,3,2,30,30
234,6,2,31,31
none,0,2,32,32
23,5,2,33,33
576,27,2,34,34
7,1,2,35,35
40,6,2,36,36
27,2,2,37,37
34,1,2,38,38
13,3,2,39,39
95,4,2,40,40
3539,37,2,41,41
408,59,2,42,42
3,1,2,43,43
none,0,2,44,44
none,0,2,45,45
none,0,2,46,46
none,0,2,47,47
none,0,2,48,48
none,0,2,49,49
none,1,2,50,50
none,0,2,51,51
none,0,2,52,52
none,0,2,53,53
none,0,2,54,54
none,0,2,55,55
none,0,2,56,56
none,0,2,57,57
none,0,2,58,58
none,0,2,59,59
none,0,2,60,60
none,0,2,61,61
none,0,2,62,62
none,0,2,63,63
none,0,2,64,64
none,0,2,65,65
none,0,2,66,66
none,0,2,67,67
none,0,2,68,68
none,1,2,69,69
none,0,2,70,70
none,0,2,71,71
2,1,2,72,72
none,0,2,73,73
none,0,2,74,74
none,0,2,75,75
1,0,2,76,76
none,1,2,77,77
1,0,2,78,78
none,0,2,79,79
none,0,3,0,0
none,0,3,1,1
none,0,3,2,2
none,0,3,3,3
none,0,3,4,4
1,0,3,5,5
none,0,3,6,6
none,0,3,7,7
none,0,3,8,8
4,0,3,9,9
1,0,3,10,10
none,1,3,11,11
none,0,3,12,12
none,0,3,13,13
none,0,3,14,14
none,0,3,15,15
none,0,3,16,16
none,0,3,17,17
none,0,3,18,18
none,0,3,19,19
none,0,3,20,20
none,0,3,21,21
none,0,3,22,22
3,1,3,23,23
none,0,3,24,24
none,0,3,25,25
1,1,3,26,26
none,0,3,27,27
none,0,3,28,28
none,1,3,29,29
4,2,3,30,30
none,2,3,31,31
2,0,3,32,32
none,1,3,33,33
4,1,3,34,34
none,0,3,35,35
none,1,3,36,36
none,5,3,37,37
none,1,3,38,38
2,1,3,39,39
none,0,3,40,40
none,0,3,41,41
4,2,3,42,42
1,0,3,43,43
none,1,3,44,44
none,0,3,45,45
none,0,3,46,46
158,6,3,47,47
none,1,3,48,48
2,1,3,49,49
2,0,3,50,50
1,0,3,51,51
5,1,3,52,52
none,0,3,53,53
3,2,3,54,54
2,0,3,55,55
none,0,3,56,56
none,0,3,57,57
none,0,3,58,58
none,0,3,59,59
none,1,3,60,60
none,1,3,61,61
3,2,3,62,62
none,1,3,63,63
none,1,3,64,64
8,1,3,65,65
47,6,3,66,66
none,0,3,67,67
none,0,3,68,68
2,4,3,69,69
9,3,3,70,70
none,0,3,71,71
1,2,3,72,72
none,0,3,73,73
4,0,3,74,74
3,0,3,75,75
none,1,3,76,76
none,0,3,77,77
7,4,3,78,78
none,1,3,79,79
